year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,21.7,218,0,0,17.57,258,1.4213,347,115,115,115,143,258,143,258,p0025,FLake
2014,25.662,206,0,17,14,267,0.012755,17,152,152,152,115,267,115,267,p0025,FLake
2015,20.545,222,0,0,20.545,222,0.11411,0,5,4,8,183,188,173,188,p0025,FLake
2011,19.472,207,1.0655,364,14.378,252,1.0655,364,113,113,113,139,252,139,252,p0026,FLake
2012,17.275,218,0,8,17.275,218,0.0014784,343,NA,NA,NA,NA,NA,NA,NA,p0026,FLake
2013,17.657,219,0,0,17.657,219,0.33935,0,NA,NA,NA,NA,NA,NA,NA,p0026,FLake
2014,21.676,207,0,16,14.146,241,0.0067127,16,102,102,102,139,241,139,241,p0026,FLake
2015,16.985,237,0,0,16.985,237,0,32,NA,NA,NA,NA,NA,NA,NA,p0026,FLake
2011,18.445,212,1.0246,364,18.445,212,1.0246,364,NA,NA,NA,NA,NA,NA,NA,p0027,FLake
2012,16.962,218,0,8,16.962,218,0.004316,343,NA,NA,NA,NA,NA,NA,NA,p0027,FLake
2013,17.34,219,0,0,17.34,219,0.33825,0,NA,NA,NA,NA,NA,NA,NA,p0027,FLake
2014,19.887,217,0,16,19.887,217,0.0070981,16,4,2.5,5,142,146,142,163,p0027,FLake
2015,16.67,238,0,0,16.67,238,0.0050944,45,NA,NA,NA,NA,NA,NA,NA,p0027,FLake
2011,27.101,191,1.4934,364,13.496,281,2.3607,360,NA,NA,NA,NA,NA,NA,NA,p0028,FLake
2012,25.184,211,0,7,13.781,270,1.7548,78,156,156,156,114,270,114,270,p0028,FLake
2013,25.774,187,0,0,16.696,266,2.0093,356,141,141,141,125,266,125,266,p0028,FLake
2014,29.197,209,0,16,15.913,269,2.0975,0,160,160,160,109,269,109,269,p0028,FLake
2015,25.271,185,0,0,19.895,249,1.5075,65,108,108,108,141,249,141,249,p0028,FLake
2011,17.476,212,0.99079,364,17.476,212,0.99079,364,NA,NA,NA,NA,NA,NA,NA,p0029,FLake
2012,16.034,219,0,8,16.034,219,0.010231,343,NA,NA,NA,NA,NA,NA,NA,p0029,FLake
2013,16.293,220,0,0,16.293,220,0.34991,0,NA,NA,NA,NA,NA,NA,NA,p0029,FLake
2014,18.845,217,0,16,18.094,223,0.0082189,16,14,9,18,209,223,142,223,p0029,FLake
2015,15.832,238,0,0,15.832,238,0,32,16,16,16,183,199,183,199,p0029,FLake
2011,19.202,213,1.1887,364,19.196,214,1.1887,364,NA,NA,NA,NA,NA,NA,NA,p0030,FLake
2012,17.763,211,0,9,17.763,211,0.010081,344,NA,NA,NA,NA,NA,NA,NA,p0030,FLake
2013,19.148,219,0,0,11.039,268,0.32561,0,133,133,133,135,268,135,268,p0030,FLake
2014,21.865,217,0,16,11.511,269,0.011455,16,132,132,132,137,269,137,269,p0030,FLake
2015,17.955,222,0,0,15.609,247,0.12286,0,74,74,74,173,247,173,247,p0030,FLake
2011,20.033,212,1.1226,364,20.033,212,1.1226,364,NA,NA,NA,NA,NA,NA,NA,p0031,FLake
2012,18.683,211,0,8,18.683,211,0.0079644,8,3,3,3,146,149,146,149,p0031,FLake
2013,19.034,218,0,0,19.034,218,0.34626,0,1,1,1,206,207,206,207,p0031,FLake
2014,21.76,217,0,16,21.76,217,0.0070768,16,NA,NA,NA,NA,NA,NA,NA,p0031,FLake
2015,18.193,237,0,0,18.193,237,0.0054178,32,NA,NA,NA,NA,NA,NA,NA,p0031,FLake
2011,19.069,210,1.1881,364,17.637,223,1.1881,364,36,36,36,187,223,187,223,p0032,FLake
2012,17.317,218,0,9,17.317,218,0.019907,345,NA,NA,NA,NA,NA,NA,NA,p0032,FLake
2013,18.77,218,0,0,10.969,268,0.32149,0,128,128,128,140,268,140,268,p0032,FLake
2014,21.55,215,0,16,11.094,270,0.01081,16,131,131,131,139,270,139,270,p0032,FLake
2015,17.686,236,0,0,15.072,248,0.12197,0,75,75,75,173,248,173,248,p0032,FLake
2011,22.137,191,1.2306,364,16.209,252,1.2306,364,NA,NA,NA,NA,NA,NA,NA,p0033,FLake
2012,20.687,211,0,9,17.416,240,0.011028,8,80,43.5,87,160,240,146,240,p0033,FLake
2013,20.392,218,0,0,20.392,218,0.33862,0,5,5,5,207,212,207,212,p0033,FLake
2014,23.257,209,0,16,23.248,210,0.0036487,359,0,0,0,204,204,204,210,p0033,FLake
2015,19.565,222,0,0,19.565,222,0.0051607,3,NA,NA,NA,NA,NA,NA,NA,p0033,FLake
2011,19.962,207,1.0798,364,15.948,247,1.0798,364,106,106,106,138,244,138,244,p0034,FLake
2012,17.849,211,0,8,17.849,211,0.0092648,8,NA,NA,NA,NA,NA,NA,NA,p0034,FLake
2013,18.231,218,0,0,18.231,218,0.34274,0,NA,NA,NA,NA,NA,NA,NA,p0034,FLake
2014,20.905,217,0,16,20.905,217,0.0067596,16,NA,NA,NA,NA,NA,NA,NA,p0034,FLake
2015,17.479,237,0,0,17.479,237,0.0038499,45,NA,NA,NA,NA,NA,NA,NA,p0034,FLake
2011,24.141,191,1.4573,364,14.673,264,1.4573,364,NA,NA,NA,NA,NA,NA,NA,p0035,FLake
2012,22.341,211,0,9,13.504,264,1.122,9,136,136,136,128,264,128,264,p0035,FLake
2013,22.531,219,0,0,13.552,268,1.6018,0,141,141,141,127,268,127,268,p0035,FLake
2014,26.184,209,0,17,12.967,274,0.0083632,17,162,162,162,112,274,112,274,p0035,FLake
2015,22.229,185,0,0,14.241,270,1.5045,62,145,145,145,125,270,125,270,p0035,FLake
2011,23.389,191,1.335,364,13.29,268,1.335,364,NA,NA,NA,NA,NA,NA,NA,p0036,FLake
2012,21.802,210,0,9,12.766,264,0.011662,346,143,143,143,121,264,121,264,p0036,FLake
2013,21.654,219,0,0,15.695,263,0.3183,0,131,131,131,132,263,132,263,p0036,FLake
2014,25.526,206,0,17,13.872,267,0.013279,17,152,152,152,115,267,115,267,p0036,FLake
2015,20.406,222,0,0,20.406,222,0.11373,0,5,4,8,183,188,173,188,p0036,FLake
2011,19.021,208,1.1144,364,10.206,279,1.1144,364,135,135,135,144,279,144,279,p0037,FLake
2012,16.874,211,0,8,15,242,0.0068699,8,50,50,50,189,239,189,239,p0037,FLake
2013,17.767,209,0,0,10.028,269,0.32734,0,126,126,126,143,269,143,269,p0037,FLake
2014,20.268,216,0,16,10.52,269,0.0065311,16,128,128,128,141,269,141,269,p0037,FLake
2015,16.49,222,0,0,14.117,249,0.11339,0,73,73,73,176,249,176,249,p0037,FLake
2011,19.859,210,1.2485,364,14.286,257,1.2485,364,97,97,97,159,256,159,256,p0038,FLake
2012,17.792,211,0,9,17.768,219,0.0735220000000001,9,NA,NA,NA,NA,NA,NA,NA,p0038,FLake
2013,19.397,219,0,0,9.633,273,1.2208,347,135,135,135,138,273,138,273,p0038,FLake
2014,22.061,215,0,16,11.095,273,0,16,136,136,136,136,272,136,272,p0038,FLake
2015,18.487,236,0,0,15.196,249,0.11239,0,77,77,77,172,249,172,249,p0038,FLake
2011,22.841,191,1.2802,364,22.768,192,1.2802,364,2,1.5,3,177,179,153,179,p0039,FLake
2012,21.638,211,0,9,21.638,211,0.01264,9,5,2.5,15,144,149,144,202,p0039,FLake
2013,21.869,189,0,0,21.869,189,0.32526,0,2,1.25,5,205,207,162,207,p0039,FLake
2014,25.142,209,0,17,24.502,216,0.013953,17,11,3,15,202,213,165,213,p0039,FLake
2015,21.031,185,0,0,21.031,185,0.0052063,21,2,1.5,3,194,196,181,196,p0039,FLake
2011,19.631,213,1.2039,364,19.628,214,1.2039,364,NA,NA,NA,NA,NA,NA,NA,p0040,FLake
2012,18.219,211,0,9,18.219,211,0.020382,345,NA,NA,NA,NA,NA,NA,NA,p0040,FLake
2013,19.433,219,0,0,11.426,268,0.32815,0,135,135,135,133,268,133,268,p0040,FLake
2014,22.277,209,0,16,12.204,267,0.011802,359,131,131,131,136,267,136,267,p0040,FLake
2015,18.322,222,0,0,16.113,246,0.12116,0,73,73,73,173,246,173,246,p0040,FLake
2011,21.103,189,1.1719,364,15.903,251,1.1719,364,115,115,115,136,251,136,251,p0041,FLake
2012,19.75,211,0,8,16.175,246,0.012281,344,85,44,88,160,245,147,245,p0041,FLake
2013,19.359,218,0,0,19.359,218,0.34782,0,5,5,5,207,212,207,212,p0041,FLake
2014,22.092,217,0,16,22.092,217,0.01052,16,9,9,9,141,150,141,150,p0041,FLake
2015,18.581,236,0,0,18.581,236,0.0039373,45,NA,NA,NA,NA,NA,NA,NA,p0041,FLake
2011,20.184,212,1.131,364,20.184,212,1.131,364,1,1,1,182,183,182,183,p0042,FLake
2012,18.849,211,0,8,18.849,211,0.0080144,8,3,3,3,146,149,146,149,p0042,FLake
2013,19.198,218,0,0,19.198,218,0.34701,0,1,1,1,206,207,206,207,p0042,FLake
2014,21.931,217,0,16,21.931,217,0.0071631,16,NA,NA,NA,NA,NA,NA,NA,p0042,FLake
2015,18.338,236,0,0,18.338,236,0.0061671,19,NA,NA,NA,NA,NA,NA,NA,p0042,FLake
2011,20.51,191,1.1942,364,13.586,259,1.1942,364,124,124,124,135,259,135,259,p0043,FLake
2012,19.05,211,0,9,16.204,242,0,344,75,75,75,166,241,166,241,p0043,FLake
2013,18.798,219,0,0,18.776,218,0.33258,0,1,1,1,175,176,175,176,p0043,FLake
2014,22.665,209,0,16,12.604,266,0.012518,16,130,130,130,136,266,136,266,p0043,FLake
2015,18.461,222,0,0,16.414,245,0.0038271,32,72,72,72,173,245,173,245,p0043,FLake
2011,21.844,191,1.3154,364,9.73,284,1.3154,364,NA,NA,NA,NA,NA,NA,NA,p0044,FLake
2012,20.153,211,0,9,15.371,250,0.0778729999999999,10,90,90,90,160,250,160,250,p0044,FLake
2013,20.547,219,0,0,12.158,268,1.3827,344,136,136,136,132,268,132,268,p0044,FLake
2014,23.327,209,0,17,13.235,267,0.01163,17,132,132,132,135,267,135,267,p0044,FLake
2015,19.98,236,0,0,14.631,264,1.447,65,116,116,116,147,263,147,263,p0044,FLake
2011,20.164,191,1.2214,364,14.151,257,1.2214,364,107,107,107,150,257,150,257,p0045,FLake
2012,18.073,211,0,9,18.073,211,0.013223,345,1,1,1,194,195,194,195,p0045,FLake
2013,19.467,219,0,0,10.833,269,0.32312,0,135,135,135,134,269,134,269,p0045,FLake
2014,22.248,215,0,16,11.944,268,0.0080569,16,132,132,132,136,268,136,268,p0045,FLake
2015,18.271,236,0,0,16.002,246,0.11799,0,73,73,73,173,246,173,246,p0045,FLake
2011,22.939,191,1.371,364,15.188,258,1.371,364,122,122,122,136,258,136,258,p0046,FLake
2012,21.143,211,0,12,16.432,249,0.012149,12,90,90,90,159,249,159,249,p0046,FLake
2013,21.51,219,0,0,12.608,268,1.4197,347,142,142,142,126,268,126,268,p0046,FLake
2014,24.819,209,0,17,14.734,265,0.010731,17,132,132,132,133,265,133,265,p0046,FLake
2015,21,185,0,0,16.298,250,0.11209,0,105,105,105,145,250,145,250,p0046,FLake
2011,27.326,191,1.4919,364,13.675,281,2.4034,360,NA,NA,NA,NA,NA,NA,NA,p0047,FLake
2012,25.455,211,0,1,13.988,270,1.8437,75,156,156,156,114,270,114,270,p0047,FLake
2013,26.105,187,0,0,16.927,266,2.6928,0,141,141,141,125,266,125,266,p0047,FLake
2014,29.444,209,0,0,16.135,269,2.4281,64,160,160,160,109,269,109,269,p0047,FLake
2015,25.538,185,0,0,20.146,249,1.5039,65,108,108,108,141,249,141,249,p0047,FLake
2011,22.669,191,1.3079,364,14.626,259,1.3079,364,NA,NA,NA,NA,NA,NA,NA,p0048,FLake
2012,21.034,210,0,9,16.594,248,0.016609,345,89,48.5,97,159,248,146,248,p0048,FLake
2013,20.623,187,0,0,20.424,222,0.32256,0,45,17,51,159,204,154,213,p0048,FLake
2014,24.697,206,0,17,14.682,265,0.0043405,16,130,130,130,135,265,135,265,p0048,FLake
2015,20.311,185,0,0,18.949,240,0.0058498,21,67,67,67,173,240,173,240,p0048,FLake
2011,23.215,191,1.4132,364,15.164,260,1.4132,364,123,123,123,137,260,137,260,p0049,FLake
2012,21.698,211,0,9,10.355,282,1.2198,347,158,158,158,122,280,122,280,p0049,FLake
2013,21.871,219,0,0,12.533,269,1.59,0,142,142,142,127,269,127,269,p0049,FLake
2014,25.192,209,0,17,11.648,279,0.0088532,17,165,165,165,114,279,114,279,p0049,FLake
