datetime,Uwind_meterPerSecond,Vwind_meterPerSecond,Surface_Level_Barometric_Pressure_pascal,Air_Temperature_celsius,Relative_Humidity_percent,Precipitation_meterPerSecond,Longwave_Radiation_Downwelling_wattPerMeterSquared,Shortwave_Radiation_Downwelling_wattPerMeterSquared
1996-05-31,-0.756240546703339,3.45931172370911,101224.4140625,8.329919433594,81.6156921386719,6.54740215395577e-08,320.089385986328,54.9832420349121
1996-06-01,2.30716872215271,4.81110858917236,101053.5546875,7.64205322265605,66.2137298583984,7.57978477849974e-09,292.119598388672,249.582672119141
1996-06-02,3.61068224906921,3.22681283950806,101380.265625,8.12096557617201,59.2261581420898,3.65637924915063e-09,289.017883300781,271.728820800781
1996-06-03,1.29609525203705,1.50912380218506,101681.28125,8.28804931640605,54.3374443054199,0,277.130615234375,296.980590820312
1996-06-04,2.46714663505554,2.64354300498962,101761.109375,8.305749511719,71.0432891845703,3.31127339450177e-08,301.535614013672,199.299667358398
1996-06-05,2.01777029037476,3.26976823806763,102238.9765625,10.574731445312,60.8146896362305,0,303.734985351562,274.467590332031
1996-06-06,3.91201782226562,2.45977854728699,101638.421875,12.124108886719,64.3775405883789,0,312.825469970703,226.025314331055
1996-06-07,0.31553328037262,1.02558588981628,101929.9375,11.934594726562,54.8563919067383,0,285.702178955078,314.094787597656
1996-06-08,1.14104890823364,2.52358555793762,101337.90625,13.203149414062,70.7845001220703,6.72649694024585e-08,314.256072998047,181.937362670898
1996-06-09,0.344754248857498,0.643272578716278,101698.5390625,13.294702148438,49.8826789855957,0,286.055358886719,323.207824707031
1996-06-10,1.4991672039032,2.53745460510254,101459.3828125,13.9515625,48.9258689880371,0,306.353393554688,289.513763427734
1996-06-11,2.24342632293701,2.73903703689575,101449.125,13.325616455078,65.6710739135742,4.50356455985457e-08,325.349609375,246.513626098633
1996-06-12,2.78996014595032,1.01807355880737,100707.3359375,9.74627075195303,90.3661193847656,7.98861001385376e-08,326.32373046875,169.087326049805
1996-06-13,3.55012035369873,-4.07826519012451,101655.625,10.042596435547,48.6783676147461,0,269.470733642578,332.484436035156
1996-06-14,1.98901033401489,-2.62028360366821,102418.5625,10.064324951172,38.4334983825684,0,280.446197509766,306.988464355469
1996-06-15,1.72694337368011,-2.37068915367126,102198.8984375,11.61416015625,52.6408805847168,0,297.808044433594,287.939392089844
1996-06-16,1.11832666397095,-1.14390599727631,101976.6953125,14.117913818359,52.9463920593262,0,308.40673828125,296.647827148438
