year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2012,17.317,232,4.3464,33,5.758,333,4.2951,64,204,204,204,103,307,103,307,p0032,FLake
2013,19.063,208,2.7805,57,5.7888,352,3.862,66,193,193,193,127,320,127,320,p0032,FLake
2014,18.564,200,4.0332,44,5.7024,347,4.0077,48,214,214,214,107,321,107,321,p0032,FLake
2009,4.8818,364,4.8818,364,4.8818,364,4.8818,364,NA,NA,NA,NA,NA,NA,NA,p0033,FLake
2010,18.262,175,1.579,363,5.0803,335,3.4031,13,221,221,221,104,325,104,325,p0033,FLake
2011,18.662,194,0.47389,29,6.8494,342,3.8544,2,235,235,235,98,333,98,333,p0033,FLake
2012,18.198,226,5.4496,33,9.4458,302,5.4496,33,173,88,176,117,290,113,290,p0033,FLake
2013,21.843,202,4.6081,56,8.8442,312,4.5497,56,182,182,182,124,306,124,306,p0033,FLake
2014,19.96,205,4.6204,44,8.1797,327,4.6204,44,210,210,210,104,314,104,314,p0033,FLake
2009,4.8272,364,4.8272,364,4.8272,364,4.8272,364,NA,NA,NA,NA,NA,NA,NA,p0034,FLake
2010,19.171,167,2.8631,358,10.951,299,2.9496,359,181,181,181,113,294,113,294,p0034,FLake
2011,19.691,193,2.8123,8,10.816,306,2.8123,8,198,100,200,97,295,97,298,p0034,FLake
2012,18.465,229,5.8435,33,11.919,279,5.8349,36,136,46.3333333333333,139,139,275,128,275,p0034,FLake
2013,23.294,200,5.0741,27,12.071,299,5.0741,27,148,148,148,145,293,145,293,p0034,FLake
2014,21.38,205,4.8644,44,10.483,307,4.8644,44,198,99.5,199,103,301,103,304,p0034,FLake
2009,5.0447,364,5.0447,364,5.0447,364,5.0447,364,NA,NA,NA,NA,NA,NA,NA,p0035,FLake
2010,22.428,171,3.6504,13,8.1507,326,3.6504,13,224,113.5,227,90,314,85,314,p0035,FLake
2011,22.475,193,2.6607,12,8.0246,338,3.5251,22,252,252,252,79,331,79,331,p0035,FLake
2012,21.883,222,6.036,33,9.2272,308,6.0219,36,231,231,231,71,302,71,302,p0035,FLake
2013,26.487,200,5.2708,27,9.311,315,5.2708,27,204,204,204,104,308,104,308,p0035,FLake
2014,23.977,205,5.1745,44,8.5243,329,5.1745,44,232,232,232,85,317,85,317,p0035,FLake
2009,4.8021,364,4.8021,364,4.8021,364,4.8021,364,NA,NA,NA,NA,NA,NA,NA,p0036,FLake
2010,19.844,176,2.4734,361,6.2259,332,3.9035,69,217,217,217,101,318,101,318,p0036,FLake
2011,19.619,194,1.0681,29,7.5131,338,3.9392,2,227,227,227,98,325,98,325,p0036,FLake
2012,19.308,224,5.1597,33,7.1039,328,5.1377,36,222,222,222,85,307,85,307,p0036,FLake
2013,22.661,202,4.4283,56,6.5662,107,3.97999999999998,234,213,213,213,114,327,114,327,p0036,FLake
2014,21.575,205,4.3702,44,7.1662,338,4.3573,45,226,226,226,95,321,95,321,p0036,FLake
2009,4.5154,364,4.5154,364,4.5154,364,4.5154,364,NA,NA,NA,NA,NA,NA,NA,p0037,FLake
2010,17.266,195,2.3176,358,7.9704,318,2.7453,361,195,195,195,115,310,115,310,p0037,FLake
2011,16.546,207,2.2772,10,8.9781,329,2.6012,7,207,105,210,102,309,98,309,p0037,FLake
2012,16.288,226,5.4816,352,10.263,285,5.4816,352,130,130,130,146,276,146,276,p0037,FLake
2013,20.131,202,4.2072,89,8.6687,311,4.1463,94,171,171,171,135,306,135,306,p0037,FLake
2014,17.499,205,4.4451,46,8.9782,316,4.4451,46,197,197,197,110,307,110,307,p0037,FLake
2009,4.2377,364,4.2377,364,4.2377,364,4.2377,364,NA,NA,NA,NA,NA,NA,NA,p0038,FLake
2010,16.909,206,1.3893,45,6.0361,331,3.7237,11,196,196,196,119,315,119,315,p0038,FLake
2011,16.406,214,0.16114,29,5.8194,347,3.9465,2,218,218,218,112,330,112,330,p0038,FLake
2012,16.846,232,4.7226,36,6.4765,328,4.7049,36,196,98.5,197,109,305,105,305,p0038,FLake
2013,19.029,208,3.615,60,5.8296,351,3.7772,70,186,186,186,126,312,126,312,p0038,FLake
2014,17.916,200,4.0618,44,7.3734,330,4.0428,46,196,196,196,118,314,118,314,p0038,FLake
2009,5.1685,364,5.1685,364,5.1685,364,5.1685,364,NA,NA,NA,NA,NA,NA,NA,p0039,FLake
2010,22.167,171,3.794,13,7.5557,329,3.794,13,227,114.5,229,90,317,86,317,p0039,FLake
2011,22.078,194,2.398,29,6.8864,343,3.5666,35,252,252,252,83,335,83,335,p0039,FLake
2012,21.093,224,5.5726,33,8.2713,321,5.5726,33,232,232,232,74,306,74,306,p0039,FLake
2013,26.011,200,4.9852,27,9.4866,314,4.9852,27,200,200,200,107,307,107,307,p0039,FLake
2014,23.788,205,5.0754,44,8.0844,334,5.0754,44,236,236,236,85,321,85,321,p0039,FLake
2009,4.8513,364,4.8513,364,4.8513,364,4.8513,364,NA,NA,NA,NA,NA,NA,NA,p0040,FLake
2010,19.642,167,2.8513,358,12.168,292,2.892,359,175,175,175,115,290,115,290,p0040,FLake
2011,20.172,193,2.8058,8,12.267,291,2.8058,8,193,193,193,96,289,96,289,p0040,FLake
2012,19.208,222,5.9023,33,13.597,269,5.892,36,119,119,119,147,266,147,266,p0040,FLake
2013,23.708,200,5.1042,27,13.108,289,5.1042,27,139,139,139,145,284,145,284,p0040,FLake
2014,21.955,205,4.9494,44,11.642,295,4.9494,44,189,189,189,104,293,104,293,p0040,FLake
2009,4.3107,364,4.3107,364,4.3107,364,4.3107,364,NA,NA,NA,NA,NA,NA,NA,p0041,FLake
2010,15.6,195,2.0142,358,9.4089,302,2.1346,359,157,157,157,138,295,138,295,p0041,FLake
2011,13.507,217,2.1124,8,12.446,254,2.1124,8,39,22,44,199,238,193,238,p0041,FLake
2012,14.645,232,5.2743,352,10.641,277,5.2743,352,118,118,118,153,271,153,271,p0041,FLake
2013,16.588,208,3.5322,94,11.926,284,3.5322,94,84,51.5,103,176,260,176,283,p0041,FLake
2014,16.386,205,4.2897,46,10.35,295,4.2897,46,151,151,151,134,285,134,285,p0041,FLake
2009,4.7321,364,4.7321,364,4.7321,364,4.7321,364,NA,NA,NA,NA,NA,NA,NA,p0042,FLake
2010,19.073,195,2.6134,358,10.708,299,2.6819,359,187,187,187,108,295,108,295,p0042,FLake
2011,18.956,193,2.6213,8,13.007,286,2.6213,8,173,173,173,106,279,106,279,p0042,FLake
2012,18.027,229,5.7992,33,13.09,269,5.7928,36,120,120,120,147,267,147,267,p0042,FLake
2013,22.041,200,4.997,27,14.52,279,4.971,57,101,101,101,157,258,157,258,p0042,FLake
2014,20.957,205,4.8171,44,11.186,299,4.8171,44,187,187,187,106,293,106,293,p0042,FLake
2009,4.6727,364,4.6727,364,4.6727,364,4.6727,364,NA,NA,NA,NA,NA,NA,NA,p0043,FLake
2010,19.222,175,2.1886,361,5.8458,333,3.852,11,216,216,216,102,318,102,318,p0043,FLake
2011,18.653,194,0.84461,29,5.3101,90,3.9406,2,238,238,238,99,337,99,337,p0043,FLake
2012,18.745,226,4.8207,33,6.6657,330,4.5221,0,223,223,223,84,307,84,307,p0043,FLake
