year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,15.373,191,0,8,5.4628,347,3.9145,87,217,217,217,111,328,111,328,p0022,FLake
2012,16.428,232,4.3802,33,5.7291,331,4.3448,62,183,183,183,121,304,121,304,p0022,FLake
2013,18.601,208,3.1352,59,5.7238,340,3.5955,71,177,60.6666666666667,182,133,310,126,310,p0022,FLake
2014,17.176,206,3.7518,46,4.9201,86,3.7518,46,217,217,217,108,325,108,325,p0022,FLake
2009,4.9063,364,4.9063,364,4.9063,364,4.9063,364,NA,NA,NA,NA,NA,NA,NA,p0023,FLake
2010,23.2,171,2.3409,361,8.3655,96,3.397,13,225,225,225,100,325,100,325,p0023,FLake
2011,23.124,193,2.3851,0,8.3342,337,3.4285,22,254,254,254,75,329,75,329,p0023,FLake
2012,22.442,222,6.0173,33,12.355,291,6.0173,33,186,186,186,100,286,100,286,p0023,FLake
2013,26.759,200,5.3803,27,12.069,302,5.3803,27,186,186,186,113,299,113,299,p0023,FLake
2014,24.521,205,5.349,44,9.8396,317,5.349,44,223,223,223,88,311,88,311,p0023,FLake
2009,4.7608,364,4.7608,364,4.7608,364,4.7608,364,NA,NA,NA,NA,NA,NA,NA,p0024,FLake
2010,21.327,171,2.6144,361,7.3237,329,3.2862,13,219,219,219,96,315,96,315,p0024,FLake
2011,21.524,193,1.7898,10,7.1366,341,3.6382,37,250,250,250,83,333,83,333,p0024,FLake
2012,21.441,226,5.46,361,6.7018,68,5.1847,188,233,233,233,81,314,81,314,p0024,FLake
2013,24.431,200,4.6742,27,8.3838,321,4.6742,27,199,199,199,111,310,111,310,p0024,FLake
2014,22.785,205,4.984,44,8.6793,325,4.984,44,224,224,224,89,313,89,313,p0024,FLake
2009,3.9003,364,3.9003,364,3.9003,364,3.9003,364,NA,NA,NA,NA,NA,NA,NA,p0025,FLake
2010,16.652,209,0.63162,45,4.6815,335,3.6883,81,201,101.5,203,118,319,115,319,p0025,FLake
2011,16.034,213,0,8,6.0444,342,3.8598,80,221,221,221,109,330,109,330,p0025,FLake
2012,17.183,232,4.6274,33,6.6885,324,4.6274,33,184,93,186,118,302,113,302,p0025,FLake
2013,19.425,208,3.7281,56,6.2982,328,3.7281,56,183,183,183,127,310,127,310,p0025,FLake
2014,17.705,206,3.9414,46,6.4198,336,3.9414,46,213,213,213,104,317,104,317,p0025,FLake
2009,4.6491,364,4.6491,364,4.6491,364,4.6491,364,NA,NA,NA,NA,NA,NA,NA,p0026,FLake
2010,20.829,176,2.086,360,4.6319,340,3.6114,57,228,228,228,98,326,98,326,p0026,FLake
2011,20.706,193,1.2055,28,6.192,346,3.9314,2,245,245,245,88,333,88,333,p0026,FLake
2012,21.203,226,5.054,33,7.5704,327,5.0467,34,224,224,224,83,307,83,307,p0026,FLake
2013,23.6,202,4.6492,36,6.251,95,3.97999999999997,200,221,221,221,107,328,107,328,p0026,FLake
2014,22.447,205,4.5021,44,7.6147,332,4.286,0,228,228,228,90,318,90,318,p0026,FLake
